ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.94583,155.99,0.088319,0.027848,0.060471,0.000139,0.001468,0.026128
1.94603,156.01,0.088410,0.027929,0.060481,0.000139,0.001472,0.026206
1.94623,156.03,0.088502,0.028011,0.060491,0.000140,0.001475,0.026284
1.94643,156.04,0.088594,0.028093,0.060501,0.000140,0.001478,0.026363
1.94663,156.06,0.088686,0.028175,0.060511,0.000140,0.001481,0.026441
1.94683,156.07,0.088779,0.028258,0.060521,0.000140,0.001485,0.026520
1.94703,156.09,0.088872,0.028341,0.060531,0.000141,0.001488,0.026600
1.94723,156.11,0.088966,0.028425,0.060541,0.000141,0.001491,0.026680
1.94743,156.12,0.089060,0.028509,0.060551,0.000141,0.001495,0.026760
1.94763,156.14,0.089154,0.028593,0.060561,0.000142,0.001498,0.026840
1.94783,156.15,0.089248,0.028677,0.060571,0.000142,0.001502,0.026921
1.94803,156.17,0.089343,0.028762,0.060581,0.000142,0.001505,0.027002
1.94823,156.19,0.089439,0.028848,0.060591,0.000142,0.001508,0.027084
1.94843,156.20,0.089535,0.028933,0.060601,0.000143,0.001512,0.027166
1.94863,156.22,0.089631,0.029019,0.060611,0.000143,0.001515,0.027248
1.94883,156.23,0.089727,0.029106,0.060621,0.000143,0.001519,0.027331
1.94903,156.25,0.089824,0.029193,0.060631,0.000144,0.001522,0.027414
1.94923,156.27,0.089922,0.029280,0.060641,0.000144,0.001525,0.027498
1.94943,156.28,0.090019,0.029368,0.060652,0.000144,0.001529,0.027582
1.94963,156.30,0.090117,0.029456,0.060662,0.000145,0.001532,0.027666
1.94983,156.31,0.090216,0.029544,0.060672,0.000145,0.001536,0.027751
1.95003,156.33,0.090315,0.029633,0.060682,0.000145,0.001539,0.027836
1.95023,156.35,0.090414,0.029722,0.060692,0.000145,0.001543,0.027921
1.95043,156.36,0.090514,0.029812,0.060702,0.000146,0.001546,0.028007
1.95063,156.38,0.090614,0.029902,0.060712,0.000146,0.001550,0.028093
1.95083,156.39,0.090715,0.029993,0.060722,0.000146,0.001554,0.028180
1.95103,156.41,0.090816,0.030084,0.060732,0.000147,0.001557,0.028267
1.95123,156.43,0.090917,0.030175,0.060742,0.000147,0.001561,0.028354
1.95143,156.44,0.091019,0.030267,0.060752,0.000147,0.001564,0.028442
1.95163,156.46,0.091121,0.030359,0.060762,0.000148,0.001568,0.028530
1.95183,156.47,0.091224,0.030451,0.060773,0.000148,0.001572,0.028619
1.95203,156.49,0.091327,0.030544,0.060783,0.000148,0.001575,0.028708
1.95223,156.51,0.091431,0.030638,0.060793,0.000149,0.001579,0.028797
1.95243,156.52,0.091535,0.030732,0.060803,0.000149,0.001582,0.028887
1.95263,156.54,0.091639,0.030826,0.060813,0.000149,0.001586,0.028977
1.95283,156.55,0.091744,0.030921,0.060823,0.000150,0.001590,0.029068
1.95303,156.57,0.091849,0.031016,0.060833,0.000150,0.001593,0.029159
1.95323,156.59,0.091955,0.031112,0.060843,0.000150,0.001597,0.029251
1.95343,156.60,0.092061,0.031208,0.060853,0.000150,0.001601,0.029343
1.95363,156.62,0.092168,0.031304,0.060864,0.000151,0.001605,0.029435
1.95383,156.63,0.092275,0.031401,0.060874,0.000151,0.001608,0.029528
1.95403,156.65,0.092382,0.031499,0.060884,0.000151,0.001612,0.029622
1.95423,156.67,0.092490,0.031597,0.060894,0.000152,0.001616,0.029715
1.95443,156.68,0.092599,0.031695,0.060904,0.000152,0.001620,0.029810
1.95463,156.70,0.092708,0.031794,0.060914,0.000152,0.001623,0.029904
1.95483,156.72,0.092817,0.031893,0.060924,0.000153,0.001627,0.029999
1.95503,156.73,0.092927,0.031993,0.060934,0.000153,0.001631,0.030095
1.95523,156.75,0.093038,0.032093,0.060945,0.000153,0.001635,0.030191
1.95543,156.76,0.093148,0.032194,0.060955,0.000154,0.001639,0.030287
1.95563,156.78,0.093260,0.032295,0.060965,0.000154,0.001643,0.030384
1.95583,156.80,0.093371,0.032396,0.060975,0.000154,0.001646,0.030482
1.95603,156.81,0.093484,0.032499,0.060985,0.000155,0.001650,0.030580
1.95623,156.83,0.093596,0.032601,0.060995,0.000155,0.001654,0.030678
1.95643,156.84,0.093710,0.032704,0.061005,0.000155,0.001658,0.030777
1.95663,156.86,0.093823,0.032808,0.061016,0.000156,0.001662,0.030876
1.95683,156.88,0.093938,0.032912,0.061026,0.000156,0.001666,0.030976
1.95703,156.89,0.094053,0.033017,0.061036,0.000156,0.001670,0.031076
1.95723,156.91,0.094168,0.033122,0.061046,0.000157,0.001674,0.031177
1.95743,156.92,0.094284,0.033227,0.061056,0.000157,0.001678,0.031278
1.95763,156.94,0.094400,0.033333,0.061066,0.000157,0.001682,0.031380
1.95783,156.96,0.094517,0.033440,0.061077,0.000158,0.001686,0.031482
1.95803,156.97,0.094634,0.033547,0.061087,0.000158,0.001690,0.031585
1.95823,156.99,0.094752,0.033655,0.061097,0.000159,0.001694,0.031688
1.95843,157.00,0.094870,0.033763,0.061107,0.000159,0.001698,0.031792
1.95863,157.02,0.094989,0.033872,0.061117,0.000159,0.001702,0.031896
1.95883,157.04,0.095108,0.033981,0.061127,0.000160,0.001706,0.032001
1.95903,157.05,0.095228,0.034091,0.061138,0.000160,0.001710,0.032106
1.95923,157.07,0.095349,0.034201,0.061148,0.000160,0.001714,0.032212
1.95943,157.08,0.095470,0.034312,0.061158,0.000161,0.001719,0.032318
1.95963,157.10,0.095591,0.034423,0.061168,0.000161,0.001723,0.032425
1.95983,157.12,0.095713,0.034535,0.061178,0.000161,0.001727,0.032532
1.96003,157.13,0.095836,0.034647,0.061189,0.000162,0.001731,0.032640
1.96023,157.15,0.095959,0.034761,0.061199,0.000162,0.001735,0.032749
1.96043,157.16,0.096083,0.034874,0.061209,0.000162,0.001740,0.032858
1.96063,157.18,0.096207,0.034988,0.061219,0.000163,0.001744,0.032967
1.96083,157.20,0.096332,0.035103,0.061229,0.000163,0.001748,0.033077
1.96103,157.21,0.096458,0.035218,0.061240,0.000164,0.001752,0.033188
1.96123,157.23,0.096584,0.035334,0.061250,0.000164,0.001756,0.033299
1.96143,157.24,0.096711,0.035450,0.061260,0.000164,0.001761,0.033411
1.96163,157.26,0.096838,0.035567,0.061270,0.000165,0.001765,0.033523
1.96183,157.28,0.096966,0.035685,0.061281,0.000165,0.001769,0.033636
1.96203,157.29,0.097094,0.035803,0.061291,0.000165,0.001774,0.033750
1.96223,157.31,0.097223,0.035922,0.061301,0.000166,0.001778,0.033864
1.96243,157.32,0.097353,0.036041,0.061311,0.000166,0.001782,0.033978
1.96263,157.34,0.097483,0.036161,0.061321,0.000166,0.001787,0.034093
1.96283,157.36,0.097614,0.036282,0.061332,0.000167,0.001791,0.034209
1.96303,157.37,0.097745,0.036403,0.061342,0.000167,0.001796,0.034325
1.96323,157.39,0.097877,0.036525,0.061352,0.000168,0.001800,0.034442
1.96343,157.40,0.098010,0.036647,0.061362,0.000168,0.001804,0.034560
1.96363,157.42,0.098143,0.036770,0.061373,0.000168,0.001809,0.034678
1.96383,157.44,0.098277,0.036894,0.061383,0.000169,0.001813,0.034797
1.96403,157.45,0.098411,0.037018,0.061393,0.000169,0.001818,0.034916
1.96423,157.47,0.098546,0.037143,0.061403,0.000169,0.001822,0.035036
1.96443,157.48,0.098682,0.037268,0.061414,0.000170,0.001827,0.035157
1.96463,157.50,0.098819,0.037395,0.061424,0.000170,0.001832,0.035278
1.96483,157.52,0.098956,0.037521,0.061434,0.000171,0.001836,0.035400
1.96503,157.53,0.099093,0.037649,0.061444,0.000171,0.001841,0.035522
1.96523,157.55,0.099232,0.037777,0.061455,0.000171,0.001845,0.035645
1.96543,157.56,0.099371,0.037906,0.061465,0.000172,0.001850,0.035769
1.96563,157.58,0.099510,0.038035,0.061475,0.000172,0.001854,0.035893
1.96583,157.60,0.099651,0.038165,0.061486,0.000173,0.001859,0.036018
1.96603,157.61,0.099792,0.038296,0.061496,0.000173,0.001864,0.036144
1.96623,157.63,0.099934,0.038427,0.061506,0.000173,0.001868,0.036270
1.96643,157.64,0.100076,0.038560,0.061516,0.000174,0.001873,0.036397
1.96663,157.66,0.100219,0.038692,0.061527,0.000174,0.001878,0.036525
1.96683,157.68,0.100363,0.038826,0.061537,0.000175,0.001883,0.036653
1.96703,157.69,0.100507,0.038960,0.061547,0.000175,0.001887,0.036782
1.96723,157.71,0.100653,0.039095,0.061558,0.000175,0.001892,0.036912
1.96743,157.73,0.100798,0.039231,0.061568,0.000176,0.001897,0.037043
1.96763,157.74,0.100945,0.039367,0.061578,0.000176,0.001902,0.037174
1.96783,157.76,0.101092,0.039504,0.061588,0.000177,0.001907,0.037305
1.96803,157.77,0.101240,0.039642,0.061599,0.000177,0.001911,0.037438
1.96823,157.79,0.101389,0.039780,0.061609,0.000177,0.001916,0.037571
1.96843,157.81,0.101539,0.039919,0.061619,0.000178,0.001921,0.037705
1.96863,157.82,0.101689,0.040059,0.061630,0.000178,0.001926,0.037840
1.96883,157.84,0.101840,0.040200,0.061640,0.000179,0.001931,0.037975
1.96903,157.85,0.101992,0.040341,0.061650,0.000179,0.001936,0.038111
1.96923,157.87,0.102144,0.040484,0.061661,0.000180,0.001941,0.038248
1.96943,157.89,0.102297,0.040627,0.061671,0.000180,0.001946,0.038385
1.96963,157.90,0.102452,0.040770,0.061681,0.000180,0.001951,0.038523
1.96983,157.92,0.102606,0.040915,0.061692,0.000181,0.001956,0.038662
