ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.85406,308.97,1.503589,0.079703,0.000378,1.423886,0.000592,0.076242,0.002319
3.85446,309.00,1.503138,0.077122,0.000379,1.426016,0.000594,0.073668,0.002309
3.85486,309.04,1.502813,0.074663,0.000380,1.428150,0.000595,0.071217,0.002300
3.85526,309.07,1.502608,0.072319,0.000380,1.430289,0.000596,0.068880,0.002290
3.85566,309.10,1.502516,0.070084,0.000381,1.432432,0.000597,0.066653,0.002281
3.85606,309.13,1.502532,0.067952,0.000381,1.434580,0.000599,0.064528,0.002272
3.85646,309.17,1.502650,0.065917,0.000382,1.436732,0.000600,0.062501,0.002262
3.85686,309.20,1.502864,0.063975,0.000383,1.438889,0.000601,0.060566,0.002253
3.85726,309.23,1.503171,0.062120,0.000383,1.441051,0.000603,0.058719,0.002244
3.85766,309.26,1.503565,0.060348,0.000384,1.443217,0.000604,0.056953,0.002235
3.85806,309.29,1.504041,0.058653,0.000385,1.445388,0.000605,0.055266,0.002226
3.85846,309.33,1.504596,0.057033,0.000385,1.447563,0.000606,0.053653,0.002217
3.85886,309.36,1.505226,0.055482,0.000386,1.449743,0.000608,0.052109,0.002208
3.85926,309.39,1.505926,0.053998,0.000387,1.451928,0.000609,0.050632,0.002199
3.85966,309.42,1.506694,0.052576,0.000387,1.454118,0.000610,0.049217,0.002191
3.86006,309.45,1.507526,0.051214,0.000388,1.456312,0.000612,0.047862,0.002182
3.86046,309.49,1.508419,0.049908,0.000389,1.458510,0.000613,0.046563,0.002173
3.86086,309.52,1.509370,0.048656,0.000389,1.460714,0.000614,0.045317,0.002165
3.86126,309.55,1.510376,0.047454,0.000390,1.462922,0.000616,0.044122,0.002156
3.86166,309.58,1.511435,0.046300,0.000390,1.465135,0.000617,0.042975,0.002147
3.86206,309.61,1.512545,0.045192,0.000391,1.467352,0.000618,0.041873,0.002139
3.86246,309.65,1.513702,0.044128,0.000392,1.469575,0.000620,0.040815,0.002131
3.86286,309.68,1.514906,0.043104,0.000392,1.471802,0.000621,0.039798,0.002122
3.86326,309.71,1.516153,0.042119,0.000393,1.474034,0.000622,0.038820,0.002114
3.86366,309.74,1.517443,0.041172,0.000394,1.476271,0.000624,0.037879,0.002106
3.86406,309.77,1.518772,0.040260,0.000394,1.478512,0.000625,0.036973,0.002097
3.86446,309.81,1.520140,0.039382,0.000395,1.480758,0.000626,0.036101,0.002089
3.86486,309.84,1.521545,0.038535,0.000396,1.483009,0.000628,0.035261,0.002081
3.86526,309.87,1.522985,0.037720,0.000396,1.485265,0.000629,0.034451,0.002073
3.86566,309.90,1.524459,0.036933,0.000397,1.487526,0.000631,0.033671,0.002065
3.86606,309.93,1.525966,0.036174,0.000398,1.489792,0.000632,0.032918,0.002057
3.86646,309.97,1.527504,0.035442,0.000399,1.492063,0.000633,0.032191,0.002049
3.86686,310.00,1.529072,0.034734,0.000399,1.494338,0.000635,0.031490,0.002041
3.86726,310.03,1.530669,0.034051,0.000400,1.496618,0.000636,0.030813,0.002033
3.86766,310.06,1.532295,0.033391,0.000401,1.498904,0.000637,0.030158,0.002025
3.86806,310.09,1.533947,0.032753,0.000401,1.501194,0.000639,0.029526,0.002018
3.86846,310.13,1.535625,0.032136,0.000402,1.503489,0.000640,0.028915,0.002010
3.86886,310.16,1.537328,0.031539,0.000403,1.505789,0.000642,0.028323,0.002002
3.86926,310.19,1.539055,0.030961,0.000403,1.508094,0.000643,0.027751,0.001995
3.86966,310.22,1.540806,0.030402,0.000404,1.510404,0.000645,0.027197,0.001987
3.87006,310.26,1.542579,0.029860,0.000405,1.512719,0.000646,0.026661,0.001979
3.87046,310.29,1.544375,0.029335,0.000405,1.515039,0.000647,0.026142,0.001972
3.87086,310.32,1.546191,0.028827,0.000406,1.517364,0.000649,0.025639,0.001965
3.87126,310.35,1.548028,0.028334,0.000407,1.519694,0.000650,0.025151,0.001957
3.87166,310.38,1.549885,0.027856,0.000408,1.522030,0.000652,0.024678,0.001950
3.87206,310.42,1.551761,0.027392,0.000408,1.524370,0.000653,0.024219,0.001942
3.87246,310.45,1.553657,0.026941,0.000409,1.526715,0.000655,0.023774,0.001935
3.87286,310.48,1.555570,0.026504,0.000410,1.529066,0.000656,0.023342,0.001928
3.87326,310.51,1.557501,0.026080,0.000410,1.531421,0.000658,0.022923,0.001921
3.87366,310.54,1.559449,0.025668,0.000411,1.533782,0.000659,0.022516,0.001913
3.87406,310.58,1.561415,0.025267,0.000412,1.536147,0.000661,0.022120,0.001906
3.87446,310.61,1.563396,0.024878,0.000412,1.538518,0.000662,0.021736,0.001899
3.87486,310.64,1.565394,0.024499,0.000413,1.540894,0.000663,0.021363,0.001892
3.87526,310.67,1.567407,0.024131,0.000414,1.543276,0.000665,0.020999,0.001885
3.87566,310.70,1.569435,0.023773,0.000415,1.545662,0.000666,0.020646,0.001878
3.87606,310.74,1.571478,0.023425,0.000415,1.548054,0.000668,0.020302,0.001871
3.87646,310.77,1.573536,0.023086,0.000416,1.550450,0.000669,0.019968,0.001864
3.87686,310.80,1.575608,0.022755,0.000417,1.552852,0.000671,0.019642,0.001858
3.87726,310.83,1.577694,0.022434,0.000418,1.555260,0.000672,0.019325,0.001851
3.87766,310.86,1.579793,0.022121,0.000418,1.557672,0.000674,0.019017,0.001844
3.87806,310.90,1.581906,0.021815,0.000419,1.560090,0.000676,0.018716,0.001837
3.87846,310.93,1.584031,0.021518,0.000420,1.562513,0.000677,0.018423,0.001830
